layout,target_name,sensor_id,contact_x_m,contact_y_m,sensor_x_m,sensor_y_m,Fx,Fy,Fz,Tx,Ty,Tz,weight,force_mag_N,centroid_error_mm,ls_error_mm
inset_090,Target_781,3,0.12,0.12,0.09,0.09,0.0,0.0,-9.087537091988132,-0.27262611275964393,0.27262611275964393,0.0,0.9087537091988132,9.087537091988132,56.40068331838099,4.3885418357208765e-14
inset_090,Target_781,4,0.12,0.12,-0.09,0.09,0.0,0.0,-0.36350148367952534,-0.01090504451038576,0.07633531157270032,0.0,0.036350148367952535,0.36350148367952534,56.40068331838099,4.3885418357208765e-14
inset_090,Target_782,1,0.13,0.12,-0.09,-0.09,0.0,0.0,-0.238661560553667,-0.050118927716270065,0.05250554332180674,0.0,0.0238661560553667,0.238661560553667,67.745160504267,6.938893903907228e-14
inset_090,Target_782,2,0.13,0.12,0.09,-0.09,0.0,0.0,-0.4830677100922144,-0.10144421911936502,0.01932270840368858,0.0,0.04830677100922144,0.4830677100922144,67.745160504267,6.938893903907228e-14
inset_090,Target_782,3,0.13,0.12,0.09,0.09,0.0,0.0,-8.830477740485676,-0.2649143322145703,0.35321910961942715,0.0,0.8830477740485677,8.830477740485676,67.745160504267,6.938893903907228e-14
inset_090,Target_782,4,0.13,0.12,-0.09,0.09,0.0,0.0,-0.4477929888684421,-0.013433789666053263,0.09851445755105727,0.0,0.04477929888684421,0.4477929888684421,67.745160504267,6.938893903907228e-14
inset_090,Target_783,1,0.14,0.12,-0.09,-0.09,0.0,0.0,-0.299276372415642,-0.06284803820728481,0.06883356565559766,0.0,0.029927637241564196,0.299276372415642,80.05954367640392,5.721958498152797e-14
inset_090,Target_783,2,0.14,0.12,0.09,-0.09,0.0,0.0,-0.6229572558866369,-0.13082102373619373,0.031147862794331852,0.0,0.062295725588663683,0.6229572558866369,80.05954367640392,5.721958498152797e-14
inset_090,Target_783,3,0.14,0.12,0.09,0.09,0.0,0.0,-8.53817886009331,-0.2561453658027993,0.4269089430046657,0.0,0.8538178860093311,8.53817886009331,80.05954367640392,5.721958498152797e-14
inset_090,Target_783,4,0.14,0.12,-0.09,0.09,0.0,0.0,-0.5395875116044103,-0.01618762534813231,0.12410512766901438,0.0,0.05395875116044103,0.5395875116044103,80.05954367640392,5.721958498152797e-14
inset_090,Target_784,1,0.14,0.13,-0.09,-0.09,0.0,0.0,-0.3383383787582614,-0.0744344433268175,0.07781782711440012,0.0,0.03383383787582614,0.3383383787582614,89.06482193385298,5.551115123125783e-14
inset_090,Target_784,2,0.14,0.13,0.09,-0.09,0.0,0.0,-0.6733531978037697,-0.14813770351682934,0.033667659890188495,0.0,0.06733531978037696,0.6733531978037697,89.06482193385298,5.551115123125783e-14
inset_090,Target_784,3,0.14,0.13,0.09,0.09,0.0,0.0,-8.35943360200289,-0.33437734408011566,0.4179716801001446,0.0,0.8359433602002889,8.35943360200289,89.06482193385298,5.551115123125783e-14
inset_090,Target_784,4,0.14,0.13,-0.09,0.09,0.0,0.0,-0.6288748214350802,-0.025154992857403215,0.14464120893006846,0.0,0.06288748214350802,0.6288748214350802,89.06482193385298,5.551115123125783e-14
inset_090,Target_785,1,0.13,0.13,-0.09,-0.09,0.0,0.0,-0.2847218267752406,-0.06263880189055293,0.06263880189055293,0.0,0.028472182677524063,0.2847218267752406,77.84818441289356,2.7755575615628914e-14
inset_090,Target_785,2,0.13,0.13,0.09,-0.09,0.0,0.0,-0.551221456636866,-0.12126872046011052,0.022048858265474643,0.0,0.055122145663686596,0.551221456636866,77.84818441289356,2.7755575615628914e-14
inset_090,Target_785,3,0.13,0.13,0.09,0.09,0.0,0.0,-8.612835259951027,-0.3445134103980411,0.3445134103980411,0.0,0.8612835259951027,8.612835259951027,77.84818441289356,2.7755575615628914e-14
inset_090,Target_785,4,0.13,0.13,-0.09,0.09,0.0,0.0,-0.551221456636866,-0.022048858265474643,0.12126872046011052,0.0,0.055122145663686596,0.551221456636866,77.84818441289356,2.7755575615628914e-14
inset_090,Target_786,1,0.12,0.13,-0.09,-0.09,0.0,0.0,-0.238661560553667,-0.05250554332180674,0.050118927716270065,0.0,0.0238661560553667,0.238661560553667,67.745160504267,8.777083671441753e-14
inset_090,Target_786,2,0.12,0.13,0.09,-0.09,0.0,0.0,-0.4477929888684421,-0.09851445755105727,0.013433789666053263,0.0,0.04477929888684421,0.4477929888684421,67.745160504267,8.777083671441753e-14
inset_090,Target_786,3,0.12,0.13,0.09,0.09,0.0,0.0,-8.830477740485676,-0.35321910961942715,0.2649143322145703,0.0,0.8830477740485677,8.830477740485676,67.745160504267,8.777083671441753e-14
