target_name,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,x_mm,y_mm,z_mm,nx,ny,nz,j1_rad,j2_rad,j3_rad,j4_rad,j5_rad,j6_rad,x_m,y_m,z_m
Target_058,-5.087140275020035,-93.76498531872508,-147.4174415736769,-28.817573107598044,90.0,-5.087140275020024,-140.0,-130.0,0.0,0.0,0.0,-1.0,-0.08878734730990946,-1.6365077168958975,-2.572919730327033,-0.50296153316176,1.5707963267948966,-0.08878734730990927,-0.14,-0.13,0.0
Target_059,-3.2920625747333023,-93.28811362432336,-147.9598567992773,-28.75202957639933,90.0,-3.2920625747332917,-140.0,-120.0,0.0,0.0,0.0,-1.0,-0.05745733111077801,-1.6281847357190231,-2.5823866619267077,-0.5018175827389588,1.5707963267948966,-0.057457331110777825,-0.14,-0.12,0.0
Target_060,-3.191219245995234,-94.46774230628452,-146.60228333562884,-28.929974358086618,90.0,-3.1912192459952244,-130.0,-120.0,0.0,0.0,0.0,-1.0,-0.055697282995627706,-1.6487731401702064,-2.5586925351483383,-0.5049233050661445,1.5707963267948966,-0.05569728299562753,-0.13,-0.12,0.0
Target_061,-3.096315397955933,-95.61411956463061,-145.23265143940193,-29.153228995967453,90.0,-3.096315397955923,-120.0,-120.0,0.0,0.0,0.0,-1.0,-0.05404089837452953,-1.6687811977983313,-2.534787949018846,-0.5088198335675127,1.5707963267948966,-0.05404089837452936,-0.12,-0.12,0.0
Target_062,-3.0068457693838324,-96.7311998565537,-143.85137355691126,-29.417426586535043,90.0,-3.0068457693838235,-110.0,-120.0,0.0,0.0,0.0,-1.0,-0.05247935877540998,-1.6882779269015287,-2.510680102084408,-0.513430951398753,1.5707963267948966,-0.05247935877540983,-0.11,-0.12,0.0
Target_063,-2.922360356744285,-97.82243810050687,-142.45876114950437,-29.71880074998873,90.0,-2.9223603567442753,-100.0,-120.0,0.0,0.0,0.0,-1.0,-0.051004810154943854,-1.7073236271821925,-2.486374430371033,-0.5186909228314636,1.5707963267948966,-0.05100481015494368,-0.1,-0.12,0.0
Target_064,-2.8424571217999617,-98.89086764430994,-141.05503809945492,-30.054094256235146,90.0,-2.842457121799952,-90.0,-120.0,0.0,0.0,0.0,-1.0,-0.04961023562217082,-1.725971240547137,-2.4618748413615332,-0.5245428984760196,1.5707963267948966,-0.04961023562217065,-0.09,-0.12,0.0
Target_065,-2.7667758152355546,-99.9391649111935,-139.6403516011053,-30.420483487701183,90.0,-2.766775815235545,-80.0,-120.0,0.0,0.0,0.0,-1.0,-0.04828934764041072,-1.744267479393913,-2.437183904081823,-0.5309375969089536,1.5707963267948966,-0.04828934764041055,-0.08,-0.12,0.0
Target_066,-2.6949927235717794,-100.96970320356243,-138.21478100483762,-30.815515791599978,90.0,-2.6949927235717706,-70.0,-120.0,0.0,0.0,0.0,-1.0,-0.047036496343616944,-1.7622537656636308,-2.412303003457333,-0.5378322112637264,1.5707963267948966,-0.04703649634361679,-0.07,-0.12,0.0
Target_067,-2.6268161834564623,-101.98459766435553,-136.77834498320868,-31.23705735243577,90.0,-2.6268161834564534,-60.0,-120.0,0.0,0.0,0.0,-1.0,-0.04584659124598667,-1.779967015564723,-2.38723246538566,-0.545189499434307,1.5707963267948966,-0.045846591245986515,-0.06,-0.12,0.0
Target_068,-2.561982736576052,-102.98574300926936,-135.33100731134738,-31.68324967938331,90.0,-2.5619827365760415,-50.0,-120.0,0.0,0.0,0.0,-1.0,-0.044715034132506666,-1.7974402981244835,-2.361971657623531,-0.5529770246366765,1.5707963267948966,-0.04471503413250648,-0.05,-0.12,0.0
