seed,trial,sample,target_name,time_s,duration_s,x_m,y_m,z_m,x_mm,y_mm,z_mm,force_target_N,current_force_N
82093048,8,90,Line_T08_0090,1.7932473387318508,2.8293458011102537,0.015370781058673726,-0.019148396430621797,0.0,15.370781058673726,-19.148396430621798,0.0,2.1494728631765727,2.165748886707514
82093048,8,91,Line_T08_0091,1.8131723091622047,2.8293458011102537,0.014736121428710044,-0.01820265464758661,0.0,14.736121428710044,-18.202654647586613,0.0,2.1494728631765727,2.1004560701562043
82093048,8,92,Line_T08_0092,1.8330972795925586,2.8293458011102537,0.014101461798746365,-0.017256912864551423,0.0,14.101461798746366,-17.256912864551424,0.0,2.1494728631765727,2.2267270801425774
82093048,8,93,Line_T08_0093,1.8530222500229125,2.8293458011102537,0.013466802168782675,-0.01631117108151622,0.0,13.466802168782674,-16.31117108151622,0.0,2.1494728631765727,2.309937660204291
82093048,8,94,Line_T08_0094,1.8729472204532664,2.8293458011102537,0.012832142538818994,-0.015365429298481025,0.0,12.832142538818994,-15.365429298481024,0.0,2.1494728631765727,2.2995149439766696
82093048,8,95,Line_T08_0095,1.8928721908836204,2.8293458011102537,0.012197482908855315,-0.01441968751544584,0.0,12.197482908855315,-14.419687515445839,0.0,2.1494728631765727,2.258078241924942
82093048,8,96,Line_T08_0096,1.9127971613139743,2.8293458011102537,0.011562823278891634,-0.01347394573241065,0.0,11.562823278891633,-13.47394573241065,0.0,2.1494728631765727,2.1630369544025743
82093048,8,97,Line_T08_0097,1.9327221317443282,2.8293458011102537,0.010928163648927954,-0.012528203949375465,0.0,10.928163648927955,-12.528203949375465,0.0,2.1494728631765727,2.1343612435846264
82093048,8,98,Line_T08_0098,1.952647102174682,2.8293458011102537,0.010293504018964273,-0.011582462166340277,0.0,10.293504018964272,-11.582462166340276,0.0,2.1494728631765727,2.1942908716838003
82093048,8,99,Line_T08_0099,1.972572072605036,2.8293458011102537,0.009658844389000594,-0.010636720383305084,0.0,9.658844389000594,-10.636720383305084,0.0,2.1494728631765727,2.16945585281271
82093048,8,100,Line_T08_0100,1.9924970430353899,2.8293458011102537,0.009024184759036913,-0.009690978600269896,0.0,9.024184759036913,-9.690978600269895,0.0,2.1494728631765727,2.121121288908615
82093048,8,101,Line_T08_0101,2.0124220134657436,2.8293458011102537,0.008389525129073233,-0.00874523681723471,0.0,8.389525129073233,-8.74523681723471,0.0,2.1494728631765727,2.0977488943215725
82093048,8,102,Line_T08_0102,2.0323469838960975,2.8293458011102537,0.007754865499109552,-0.007799495034199518,0.0,7.754865499109552,-7.799495034199518,0.0,2.1494728631765727,2.180767270563043
82093048,8,103,Line_T08_0103,2.0522719543264514,2.8293458011102537,0.007120205869145873,-0.006853753251164333,0.0,7.120205869145873,-6.853753251164333,0.0,2.1494728631765727,2.018981816006706
82093048,8,104,Line_T08_0104,2.0721969247568053,2.8293458011102537,0.006485546239182195,-0.005908011468129141,0.0,6.485546239182195,-5.908011468129141,0.0,2.1494728631765727,1.9404534304757775
82093048,8,105,Line_T08_0105,2.092121895187159,2.8293458011102537,0.005850886609218514,-0.004962269685093956,0.0,5.850886609218514,-4.962269685093956,0.0,2.1494728631765727,1.90050803145618
82093048,8,106,Line_T08_0106,2.112046865617513,2.8293458011102537,0.005216226979254834,-0.004016527902058767,0.0,5.216226979254834,-4.016527902058767,0.0,2.1494728631765727,1.8422763610329698
82093048,8,107,Line_T08_0107,2.131971836047867,2.8293458011102537,0.004581567349291153,-0.003070786119023578,0.0,4.581567349291153,-3.070786119023578,0.0,2.1494728631765727,1.794789193989731
