trial,sample,target_name,time_s,duration_s,x_m,y_m,z_m,x_mm,y_mm,z_mm,force_target_N,current_force_N,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,j1_rad,j2_rad,j3_rad,j4_rad,j5_rad,j6_rad
5,76,Line_T05_0076,1.5115838112145012,3.261838750515503,-0.014130290033806968,0.06925425273490915,0.0,-14.130290033806968,69.25425273490914,0.0,0.368658144764761,0.4070029436835473,22.390887536496045,-105.41113698659372,-131.70722829191666,-32.88163472148963,90.0,22.390887536496002,0.390794709955618,-1.8397714086868342,-2.298724782369773,-0.5738927893280827,1.5707963267948966,0.39079470995561727
5,77,Line_T05_0077,1.5314730718883762,3.261838750515503,-0.015133731745528053,0.06943587051361606,0.0,-15.133731745528053,69.43587051361607,0.0,0.368658144764761,0.4253069460497813,22.464456741540953,-105.31411000137263,-131.85523361987856,-32.83065637874884,90.0,22.464456741540918,0.39207873481172645,-1.8380779683314423,-2.301307962653202,-0.5730030494000458,1.5707963267948966,0.39207873481172584
5,78,Line_T05_0078,1.5513623325622514,3.261838750515503,-0.016137173457249153,0.069617488292323,0.0,-16.13717345724915,69.617488292323,0.0,0.368658144764761,0.4711414435368063,22.538343826653968,-105.21700615342687,-132.00311136069018,-32.77988248588294,90.0,22.53834382665393,0.3933683077216498,-1.8363831864684328,-2.303888916120776,-0.572116877795481,1.5707963267948966,0.39336830772164916
5,79,Line_T05_0079,1.5712515932361264,3.261838750515503,-0.017140615168970245,0.06979910607102995,0.0,-17.140615168970246,69.79910607102994,0.0,0.368658144764761,0.6189091076176848,22.612550757188167,-105.11982422728555,-132.15086165934113,-32.72931411337335,90.0,22.612550757188124,0.39466346298727034,-1.8346870418838368,-2.30646764530304,-0.5712342931978136,1.5707963267948966,0.3946634629872696
5,80,Line_T05_0080,1.5911408539100014,3.261838750515503,-0.018144056880691338,0.06998072384973687,0.0,-18.144056880691338,69.98072384973688,0.0,0.368658144764761,0.5754357974581433,22.687079513801184,-105.02256299766798,-132.29848465596476,-32.67895234636725,90.0,22.687079513801145,0.395964235177585,-1.832989513192472,-2.3090441526457823,-0.5703553145464348,1.5707963267948966,0.3959642351775843
5,81,Line_T05_0081,1.6110301145838763,3.261838750515503,-0.019147498592412424,0.0701623416284438,0.0,-19.147498592412422,70.1623416284438,0.0,0.368658144764761,0.5293759703999046,22.761932092593227,-104.92522122933843,-132.44598048581702,-32.62879828484456,90.0,22.761932092593188,0.3972706591311146,-1.831290578835408,-2.311618440509666,-0.5694799610396162,1.5707963267948966,0.3972706591311139
5,82,Line_T05_0082,1.6309193752577513,3.261838750515503,-0.020150940304133516,0.07034395940715074,0.0,-20.150940304133517,70.34395940715073,0.0,0.368658144764761,0.4975554599579156,22.837110505246592,-104.82779767695878,-132.59334927925465,-32.578853043786594,90.0,22.837110505246553,0.3985827699583388,-1.8295902170773939,-2.314190511169844,-0.5686082521374525,1.5707963267948966,0.39858276995833813
5,83,Line_T05_0083,1.6508086359316265,3.261838750515503,-0.021154382015854612,0.07052557718585767,0.0,-21.154382015854612,70.52557718585767,0.0,0.368658144764761,0.39878926320058533,22.91261677916636,-104.73029108493924,-132.74059116171264,-32.529117753348125,90.0,22.91261677916632,0.3999006030441515,-1.827888406004254,-2.3167603668155703,-0.5677402075648654,1.5707963267948966,0.39990060304415076
5,84,Line_T05_0084,1.6706978966055015,3.261838750515503,-0.02215782372757571,0.07070719496456461,0.0,-22.15782372757571,70.70719496456461,0.0,0.368658144764761,0.2784180602251093,22.98845295762262,-104.63270018728696,-132.88770625368122,-32.479593559031834,90.0,22.988452957622577,0.4012241940503432,-1.8261851235202449,-2.319328009549796,-0.5668758473146488,1.5707963267948966,0.40122419405034243
5,85,Line_T05_0085,1.6905871572793765,3.261838750515503,-0.02316126543929678,0.07088881274327154,0.0,-23.16126543929678,70.88881274327154,0.0,0.368658144764761,0.3543341691394276,23.06462109989386,-104.53502370745265,-133.03469467068183,-32.43028162186552,90.0,23.064621099893824,0.4025535789181038,-1.8244803473453783,-2.3218934413887515,-0.56601519165056,1.5707963267948966,0.40255357891810317
